,app,google_score,reviews,user_grade
16,Microsoft Outlook,"4,5","*Il y a eu une mise à jour qui a finalement résolu les deux problèmes.* J'utilise Outlook sur mon ordi et sur mon cell. Sur l'ordi, tout va bien, mais sur le cell j'ai deux problèmes : il y a souvent des brouillons \""invisibles\"". Pour les faire disparaitre, je dois réinstaller l'appli. Aussi, les courriels dans la boîte \""Supprimés\"" sont listés par destinataire (moi). Je n'arrive pas à les lister par expéditeur (plus facile de voir si j'ai mis un courriel à la poubelle par erreur). Merci.",4
17,Microsoft Outlook,"4,5","Filtres anti spam presque inexistants, certains emails frauduleux sont reçus sans être directement déplacés dans messages indésirables et sont affichés avec le tag urgent. Une solution anti spam est inévitablement faillible mais en prenant en compte les moyens colossaux que Microsoft ont, c'est extrêmement médiocre.",1
18,Microsoft Outlook,"4,5","Les mises à jour s'enchaînent mais toujours les mêmes problèmes : parfois, le mail arrive après la notif ou inversement et le badge numéroté ne fonctionne qu'aléatoirement. Le menu ne permet pas de différencier clairement les comptes (couleurs laides et acronymes non modifiables et imposés) et on ne peut toujours pas modifier le classement des comptes.",2
19,Microsoft Outlook,"4,5","De nombreux mails disparaissent dès que j'appuye sur \""envoyer\"", les brouillons n'ont enregistré que l'adresse du destinataire mais pas le message, les mails ne sont pas dans la boîte d'envoi ni dans les messages envoyés. En souhaitant synchroniser mes boîtes, ça charge indéfiniment et bloqué l'application jusqu'à ce que je la redémarre.",2
20,Microsoft Outlook,"4,5",Très pratique de rassembler les différentes adresses mail dans une application. Il manque des options dans l'application par rapport à la version PC. Petite suggestion pour le calendrier : le double rappel pour les rdv.,4
21,Microsoft Outlook,"4,5","Maj. La c'est fini, l'appli ne récupére plus aucun email privé gmail ou hotm. Bye Bye outlook ... Maj. C'est de pire en mal...une seul boîte fonctionne et je reçois non stop des notifications pour des email effacé. ------------------------ Depuis un certain temps, impossible de me connecter à ma boîte mail du boulot, je réinstalle une dernière fois pour tester et maintenant il ne m'est plus possible de la Configurer ( compte Gandi imap) . Cette option vas probablement devenir payante.",1
22,Microsoft Outlook,"4,5",J'ai plusieurs mail et chacun commence avec la lettre A et toutes mes bulles (bulles de profil avec la lettre A) dans le menu de gauche sont de la meme couleur. Ne peut on pas personnaliser les couleurs afin de ne pas avoir a naviguer sur tous les mail pour retrouver celui qu'on veut. C'est vraiment pas pratique que tous les profils soit de la meme couleurs 😠😡😵,2
23,Microsoft Outlook,"4,5",Depuis quelques jours je ne parviens pas à l'utiliser sur mon smartphone. Je l' ouvre et elle se ferme aussitôt. J' ai attendu sans intervenir et j' ai eu raison : ça fonctionne à nouveau (18 novembre) ! Du coup j' ajoute une étoile. 😎,3
24,Microsoft Outlook,"4,5","Depuis quelques jours, Dès que je me met en données mobiles, si j'envoie un mail avec une PJ, un message me dit que la PJ n'a pas pu être ajouter. J'envoie quand même mon mail qui va directement se loger dans les brouillons où je retrouve mon mail sans PJ. Mais si j'ajoute une PJ à mon mail dans brouillon, mon mail est envoyé correctement à mon destinataire qui reçoit mon mail et sa PJ. Par contre, si je me mets en mode WiFi, je peux envoyer mon mail et la PJ sans problème. Que faire ?",1
25,Microsoft Outlook,"4,5","J'adore cette application elle est simplement géniale pour lire, écrire, recevoir, envoyer des e-mails \u0026 plus encore, elle san bug. Je la télécharge à chaque fois q' j'ai un 🆕 appareil et elle ne ma jamais déçu, elle est très fonctionnelle, fluide et aussi efficace je la recommande vivement essaie-là vous comprendrez de quoi je cause 👈🏽 😀 Thank you for the developers 👍 job 👏",5
26,Microsoft Outlook,"4,5",fait bien le boulot. À quand la séparation mail / contact / agenda ? Car ce serait bien de pouvoir gérer/synchroniser ses contact / agenda Outlook directement depuis Android et non uniquement depuis l'application Outlook. C'est très bien d'avoir ajouter une option pour prendre en compte le navigateur par défaut. Merci,4
27,Microsoft Outlook,"4,5","Disfonctionne complètement depuis la dernière mise à jour sur Xiaomi Mi9T ! Aucun problème avant ... mais maintenant je ne peux même plus regarder mes mails : freeze à répétition, n'affiche plus les mails, ne synchronise plus et j'en passe ! Et ceci le lendemain de cette m**** de MAJ ! Merci de corriger cela rapidement ! PS : réinstallation déjà effectuée",1
28,Microsoft Outlook,"4,5",Depuis hier il est impossible d'accéder à mon adresse professionnelle depuis cette application alors que depuis une page web je peux.... j'ai eu la hotline du serveur qui héberge mon adresse mail pas de problème de leur côté. Impossible davoir quelqu'un de chez Microsoft pour résoudre leur problème... A l'heure du télétravail c'est compliqué quand ça ne fonctionne pas et qu'il n'y a aucune solution proposer.,1
29,Microsoft Outlook,"4,5","Mails manquants ou qui ne s'affichent pas, synchronisation aléatoire et calendrier pas toujours à jour. Déjà que le client Web n'est pas terrible mais imposé par l'employeur, que la version mobile devient de plus en plus une catastrophe.",2
30,Microsoft Outlook,"4,5","Elle n'est peut-être pas optimisé pour téléphone Galaxy A8 ni pour tablette tactile Tab10 android 9pie. C'est de pire en pire, beaucoup trop de spames. Les e-mails ne s'envoient pas directement, ils se place dans brouillon et y a pas le monde renvoyer automatiquement après. Impossible d'envoyer 6 documents importants en pièces jointes de 50 Mo.",1
31,Microsoft Outlook,"4,5",Impossible d'envoyer des mails via l'application ! Quand on ne retrouve pas des mails d'amis dans les spams. C'est pas la première fois que je désinstalle et réinstalle. Si ça continue je serai obligé de changer de crèmerie. Cordialement,1
32,Microsoft Outlook,"4,5","Bonjour Ça marchait très mal il y a quelques temps, mais maintenant tout va bien. Si ce n'est que lorsque je reçois un email provenant de Outlook me demandant mon mot de passe, je ne répond pas, parce que je ne suis pas certaine que cette email provienne vraiment de vous. Cordialement Daphné",5
33,Microsoft Outlook,"4,5",Suite a la dernière mise a jour le champ domaine est obligatoire pour les adresses exchange. Je ne vois pas l'intérêt de forcer ce champ ! Car certains serveurs n'utilise pas ce paramètre. Obligé de changer d'application ! Adieu Outlook !,1
34,Microsoft Outlook,"4,5","Simple mais efficace, pas besoin de petits dessins autour ou d'avoir 100 fonctionnalités. C'est une boîte mail, elle fait son travail. Je pense juste qu'elle pourrait être modernisée un peu.",4
35,Microsoft Outlook,"4,5",Sur l'appli non seulement des messages n'apparaissent pas mais le comble de plus en plus de messages officiels sont en indésirable ( même déclarés légitimes ) alors que les réels indésirables et pishing se retrouvent dans la boîte de réception (mêmes si déclarés plusieurs fois indésirables !). C'est franchement agaçant ! Du coup la boîte de réception à 2 catégories s'avère inutile ! Déçue !,3
36,Microsoft Outlook,"4,5","Impossible d'ouvrir l'emplacment d'un rendez-vous indiqué dans l'agenda. Rien ne se passe lorsqu'on \""clique\"" sur le lieu. (Possible dans l'agenda par défaut de google). Serait très utile. Outre cela bonne application.",4
37,Microsoft Outlook,"4,5","Application très pratique, mais avec mon OnePlus 7, impossible de télécharger les pièces jointes. MÀJ le 04/12/20 : Il m'est à présent impossible d'ouvrir mes mails. Me voilà contrainte à lire mes mails sur le navigateur web de mon smartphone.",1
38,Microsoft Outlook,"4,5","Fonctionner parfaitement mais depuis la mise a jours les email sont reçu avec 2 a 5 minutes de décalage voire même plus , j'ai testé avec un autre client email sur la même adresse et j'ai 30 sec pour la réception , le refresh est trop lent et appli plante qui oblige un redémarrage . Dommage je la trouvais nickel",2
39,Microsoft Outlook,"4,5","Je n'arrive pas à me connecter à mon compte. Vraiment, Outlook a bien baissé en qualité, toujours des problèmes de connexion ou de gestions des mails, alors qu'il y a quelques mois c'était très bien",1
40,Assistant Google – Simplifiez-vous la vie,"4,1","Simplement 3 étoiles, parce que j'ai un HUAWEI et vais en changer très prochainement car pour de multiples raisons dont des applis très douteuse censées être de Google, mais par ex, l'assistant Google n'en est pas un, c'est en fait une assistante en app système, mais elle n'apparaît nulle part dans le play store, et du coup, même en installant cet assistant, il est resté muet face à ma guerrière CHINOISE, déjà que Google pille nos vies privées en négociant le non paiement de ses impôts, BRAVO🖕",3
41,Assistant Google – Simplifiez-vous la vie,"4,1","Merci Samsung, grâce a la dernière mise à jour de ONE UI, impossible d'utiliser l'assistant, qui est en anglais on ne sais même pas pourquoi et qui dit ne pas pouvoir \""établir la communication avec Google pour le moment\"". J'espère que cela sera vite réglé car c'était l'assistant Google était très pratique.",1
42,Assistant Google – Simplifiez-vous la vie,"4,1","Contexte : la nuit, les yeux fermés. On peut mettre une alarme. Feature request : quand est la prochaine alarme. Supprimer des alarmes. Stopper la lecture par dessus sa voix ( differentiel avec sa propre voix). Modifier alarme. Mettre alarme vers Calendar Agenda et vice versa. IoT multi smartphones (on conserve les anciens en remplacement ) : communiquer les n'importe lequel mais modifier alarme sur Samsung du tel le + récent (car leur alarm n'est pas sync multi devices)",4
43,Assistant Google – Simplifiez-vous la vie,"4,1","L'assistant est très pratique quand je suis au volant pour lancer un appel ou un morceau de musique. Mais il y a un bug pour l'envoi des SMS, il y a toujours un problème bdans le format du numéro quelque soit mes modifications ! L'assistant au volant perd alors beaucoup de son utilité !",3
44,Assistant Google – Simplifiez-vous la vie,"4,1","Depuis les dernières mises a jour c'est catastrophique. Le Google home ne comprends plus rien, la fonction liste ne fonctionne plus et créé des listes accessible nulle part sauf via ok Google... Bref. Mon Google home va probablement finir au placard.",1
45,Assistant Google – Simplifiez-vous la vie,"4,1","Centralisez les applications ! De nombreux bugs surviennent lors des switch entre l'assistant vocal et l'application Google. Cela entrave très fortement la fluidité des recherches, qui sont la principale utilité d'un moteur de \""recherche\"" (comble ?). De plus (peut être question de sécurité) la compréhension des enfoncés vocaux ou alors l'IA permettant les déductions des mots ou phrases énoncés semble avoir légèrement diminué ce qui a pour effet de ralentir d'avantage le processus de recherche.",3
46,Assistant Google – Simplifiez-vous la vie,"4,1","Nul à chié, de base je n'utilise jamais cet application Assistant Google sauf que cet application alors que je ne lui ai strictement rien demandé démarre toute seul, plus particulièrement elle démarre intempestivement quand je regarde des vidéos sur YouTube et écrit ce que les youtuber disent, cet application Assistant Google démarre intempestivement à d'autres moments alors que je ne lui ait rien demandé, je précise a Google que j'utilise un amplificateurs HOME CINÉMA YAMAHA RX-A1080.",1
47,Assistant Google – Simplifiez-vous la vie,"4,1","L'assistant était super pratique avant la dernière mise à jour. Depuis je n'ai plus de commande vocal si je n'appuie pas sur l'icône micro après avoir dit \""ok Google\"". Alors que le but d'un assistant vocal c'est justement qu'il soit vocal. Oui j'ai déja vérifié mes paramètres, oui c'est activé et tout fonctionnait très bien avant la MAJ. Maintenant le service est inutilisable....",1
48,Assistant Google – Simplifiez-vous la vie,"4,1","Impossible d'établir la connexion avec google pour l'instant. Je suis sur Android one plus 5. Je ne sais pas ce qui se passe mais depuis ça ne fonctionne plus , si ça continue , je bascule chez Apple.",1
49,Assistant Google – Simplifiez-vous la vie,"4,1","Il y a un gros bug en ce moment, je suis parle en français et elle me répond en anglais en me disant qu'il y a un problème. Même en lui parlant anglais c'est la même chose. Je n'ai touché aucun réglage, la langue est toujours en français dans les paramètres et ça ne le faisait pas avant. Merci de bien vouloir régler le problème.",1
50,Assistant Google – Simplifiez-vous la vie,"4,1","Déçu de pas pouvoir avoir une vrai conversation, de pas pouvoir remplir un questionnaire sur ce qu'on aime ou pas afin de pouvoir se divertir un peu plus avec cette application. Elle fait plus de recherche qu'autre chose, c'est dommage",2
51,Assistant Google – Simplifiez-vous la vie,"4,1","Application nul,ne fonctionne pas l'interface ouvre puis ce referme. On a beaux dire \""ok Google\"" ça ne fonctionne pas. J'ai acheté un nouveau téléphone pour avoir ces fonctionnalités et voilà comment je me retrouve ! Nul ! A revoir !",1
52,Assistant Google – Simplifiez-vous la vie,"4,1",Il faudrait rajouter la possibilité de demander à l'assistant Google de finir toutes ces phrases par le nom que nous avons configurer à part ça c'est blagues sont plutôt drôle mais le problème c'est que quand parfois on lui parle il cherche directement sur le web et ne répond pas directement à ce qu'on lui dit et enfin ça serait cool que nous puissions lui demander de parler avec des voix de personnages connu comme par exemple Homer Simpson ou des choses comme ça,4
53,Assistant Google – Simplifiez-vous la vie,"4,1","Depuis la mise à jour de Samsung, le S7 (SM-G930F), Android 8, G930FXXU8ETI2. L'application dit ne pas être disponible avec cet appareil... Alors qu'avant ca fonctionnait. Et qu'il s'agit que d'une mise à jour corrective. Nb : j'ai tenté de re installer app en vain.",1
54,Assistant Google – Simplifiez-vous la vie,"4,1","Même souci sur Samsung depuis la dernière mise à jour, plus moyen d'utiliser l'assistant. Toujours la même réponse en anglais disant que quelque chose s'est mal passé...",1
55,Assistant Google – Simplifiez-vous la vie,"4,1","C'est nul nul nul! Je n arrive pas a parler a l'assistante google (pas plus de 10secondes). C tres ennuyant car quand j'essaie de lui parler, l'assistante me parle et après l'application se ferme a ma face! Et quand je veux le désinstaller, toutes les mises a jours de google se désinstallent. C est tres soulant et fatiguant. J aimerai beaucoup que l'on trouve un moyen pour que ça refonctionne comme avant! Merci",1
56,Assistant Google – Simplifiez-vous la vie,"4,1","Bonjour, pour utiliser l'application il est nécessaire de cliquer sur le micro, impossible de faire un enregistrement vocal pour la reconnaissance, impossible d'utiliser ok Google, j'ai téléchargé l'application car mon écran est HS, dommage l'application fonctionnait bien sûr mon ancien téléphone",3
57,Assistant Google – Simplifiez-vous la vie,"4,1","J'ai décelé un problème avec \""smart life\"" lors d'une demande vocale pour tamiser la lumière, Mon Pixel 2 redémarre. Testé plusieurs fois et toujours le même problème avec Google Home.",2
58,Assistant Google – Simplifiez-vous la vie,"4,1","Depuis plusieurs temps, l'assistant ne parle plus, je suis obligé de lire sa réponse ! Alors se n'est pas du tout pratique ! Merci de régler se problème ! Surtout que j'ai beau chercher dans les paramètres, rien ne change !",2
59,Assistant Google – Simplifiez-vous la vie,"4,1","Application complètement sourde, ne comprends pas les commandes basique (appeler un contact, afficher l'adresse d'un contact...)lance une recherche web pour des demandes locales. Inutilisable",1
60,Assistant Google – Simplifiez-vous la vie,"4,1","Bj, Impossible de le faire fonctionner depuis 2j !!! en voice ou clavier, il dit Impossible d'établir la connexion avec google ... / Samsung A70",1
61,Assistant Google – Simplifiez-vous la vie,"4,1",Ras le bol de et assistant qui arrive de façon intempestive et qui est intrusif même désactivée. Virez cette appli instable avant que je passe chez iphone! S'ouvre seule une centaine de fois par jour.,1
62,Assistant Google – Simplifiez-vous la vie,"4,1",J'adorai l'ancienne mise à jour maintenant cette application n'a plus les mêmes options au niveau des messages que Google assistant vocal quand il répond à notre question mais il a pas beaucoup de liberté je trouve ça nul à oui j'ai aussi un truc à dire on peut éviter de dire ok Google pour qu'il s'active du genre on pourrait dire Google et comme ça il s'active s'il vous plaît parce que à chaque fois que je dis ok quand je parle pratiquement il s'active merci Google de corriger ce problème,5
63,Assistant Google – Simplifiez-vous la vie,"4,1",Assistant Google ne fonctionne plus depuis dernière mise a jour (Xiaomi 9s). Pas moyen d'enregistrer une nouvelle voie. Pourtant le micro fonctionne très bien ainsi que les appels...,1
64,Assistant Google – Simplifiez-vous la vie,"4,1","Pas d'historique de recherche dans l'application pas de reprise précédente, souvrnt des images ou lien commercial comme résultat, pas de modèle 3D pour imprimante, pas de vidéo ou animation 😱😱😱",1
65,Assistant Google – Simplifiez-vous la vie,"4,1","L'appli est super et fonctionnait très bien sur mon Samsung a71 mais depuis 15jours l'activation a la voix (ok google) ne fonctionne plus... j'ai essayé de desinstaller, vider les caches, réenregistrer l'empreinte vocale mais rien n'y fait.",3
66,Assistant Google – Simplifiez-vous la vie,"4,1",J'aime beaucoup cette app. C'est marrant et en plus pas besoin de tout faire. Google Assistant est la pour ça.😋,5
67,Assistant Google – Simplifiez-vous la vie,"4,1",Fonctionnement aléatoire. Les mêmes commandes énoncées de la même manière peuvent avoir un résultat différent. Utilisation frustrante parce qu' imprevisible .,1
68,Assistant Google – Simplifiez-vous la vie,"4,1","Gros bug l'assistant me dit qu'il y a un problème et me parle en anglais même si je parle anglais ou en français j'ai toujours la même réponse \""something went wrong, please try again\""",1
69,Assistant Google – Simplifiez-vous la vie,"4,1",Bonjour tout le monde pour ceux qui ont des problèmes de langue en anglais penser à vider le cache dans les paramètres de l'application voilà et le problème normalement est résolu,5
70,Assistant Google – Simplifiez-vous la vie,"4,1","Pas de problème sur Google Home, mais sur mon téléphone Voice Match se désactive tout seul, impossible de le faire fonctionner juste à la voix et quand je retourne dans les paramètres \""Hey Google\"" est désactivé",3
71,Assistant Google – Simplifiez-vous la vie,"4,1","Bonjour, Je trouve que c'est nul car dès que tu dis OK sans même dire google, le téléphone ce met à fonctionner et quand tu en a besoin, il fonctionne une fois sur deux",2
72,Assistant Google – Simplifiez-vous la vie,"4,1",Bonjour Je comprends pas pourquoi vous avez enlevé des appareils j'ai essayé de dire OK Google mais il fait plus que des recherches Et quand J'INSTALLE LITERALEME L'ASSISTANCE et il dit que c'est pas disponible en français alors que c'est écrit en français et que il y a quelques semaines on pouvait encore discuter avec lui en FRANÇAIS,2
73,Assistant Google – Simplifiez-vous la vie,"4,1","L'activation par la voix avec le \""Ok Google\"" ne fonctionne pas : j'ai beau essayer toutes les options. Donc pas vraiment d'utilité à cette application.",1
74,Assistant Google – Simplifiez-vous la vie,"4,1","Aucune utilité la dernière mise a jour de Samsung bloque totalement la reconnaissance vocal, impossible de m'en servir que se sois avec ou sans l'icône du micro sérieux faite un truc parce que la vous pénaliser tout le monde",1
75,Assistant Google – Simplifiez-vous la vie,"4,1",Super !!! 👍🏼 Rien a redire 😃 je suis surprise que sa marche aussi bien 🤩🤩🤩. Peut tout faire😎😎 C est pratique quand on a la flemme 😂😂😂 . En plus on est pas obligé d appuié sur le logo pour entré dans l appli 😉. Il faut juste appuié sur le bouton accuille 😁😍 Un petit conseil : installé la tout de suite 😊😝.,5
76,Assistant Google – Simplifiez-vous la vie,"4,1",Très bonne application sauf pour envoyer des SMS en les dictant le SMS ne s'envoie et en plus je dois supprimer mon contact et le réinstaller pour lui envoyer des messages de manière Manuel,4
77,Assistant Google – Simplifiez-vous la vie,"4,1","bah moi, mon assistant google ne fonctionne tout simpleemnt plus... il s'est mis de lui meme en anglais, et meme quand j'ennonce en anglais ma demande, \""something went wrong, pls try again\"" tres soulant a vrai dire... je n'ai plus mon ok google... a vite corriger, pck je ne trouve rien sur le net pour regler mon probleme.",4
78,Assistant Google – Simplifiez-vous la vie,"4,1",Ne lance plus le gps quand je dit ok Google rentre à la maison. Il montre bien l'adresse mais c'est tout. Alors que les autre adresse il lance le gps je comprend pas,2
79,Assistant Google – Simplifiez-vous la vie,"4,1","Toujours pas de thème sombre sur Android 9, INUTILISABLE dans une chambre ou salle de cinema, dans sa voiture etc... Abime fortement les yeux avec une surface d'écran de 84% blanche au démarrage \u003d A DECONSEILLER !",2
80,Scanner de codes QR & de codes-barres (français),"4,5",Les publicitÃ©s invasives occupent 9/10 de la page et ne peuvent pas Ãªtre estompÃ©es... L'appli n'est donc pas utilisable... Dommage ! DÃ©sinstaller !!!,2
81,Scanner de codes QR & de codes-barres (français),"4,5",Cette application permet de scanner des QR codes et d'accÃ©der aux sites Web et de tÃ©lÃ©charger de nouvelles applications etc. Elle est trÃ¨s facile Ã  utiliser. Il a la version Pro. C'est pour Ã§a que je mets 5 Ã©toiles.,5
82,Scanner de codes QR & de codes-barres (français),"4,5","Une avalanche de publicitÃ©s pour inciter Ã  passer Ã  la version payante. ðŸ‘Ž Au vu des commentaires, a achetÃ© des bonnes notes pour Ãªtre plus visible sur Play Store. ðŸ˜…",1
83,Scanner de codes QR & de codes-barres (français),"4,5","Je peux accÃ©der Ã  un site internet grÃ¢ce Ã  cette application, sur ordi, je n'y parviens pas. Donc je suis plutÃ´t satisfaite. Cependant je ne l'utilise que pour ce seul site (restaurant scolaire), je ne l'ai pas encore utilisÃ©e pour autre chose.",4
84,Scanner de codes QR & de codes-barres (français),"4,5","Bonne application, mais il serait bien aussi de pouvoir intÃ©grer le scan dans l'appareil photo du smartphone. Ce serait trÃ¨s pratique.",4
85,Scanner de codes QR & de codes-barres (français),"4,5",Marche super bien pour tout types de code barres et Qr codes,5
86,Scanner de codes QR & de codes-barres (français),"4,5","efficacitÃ©,gain de temps, bref on le recommande",4
87,Scanner de codes QR & de codes-barres (français),"4,5",TrÃ¨s bon scanner de QR CODES! Je le trouve trÃ¨s bien pour scanner des choses et puis au moins il vibre quand tu scannes des choses.,5
88,Scanner de codes QR & de codes-barres (français),"4,5","Grosse mer... Lorsque l'on scanne un qr code, exemple menu restaurant, il nous envoie sur un lien direct pour play vos 3â‚¬ par semaine sans demande de confirmation.",1
89,Scanner de codes QR & de codes-barres (français),"4,5",J'ai utilisÃ© cette application Ã  plusieurs reprises et je la trouve trÃ¨s bien Fonctionne parfaitement bien pour tout type de flash,5
90,Scanner de codes QR & de codes-barres (français),"4,5","TrÃ¨s bonne application, je n'ai eu aucun soucis en l'utilisent et elle scanne assez rapidement",5
91,Scanner de codes QR & de codes-barres (français),"4,5",fonctionne bien malgrÃ© les pubs.,4
92,Scanner de codes QR & de codes-barres (français),"4,5","Datamatrix, QR codes : lit ce que je cherche Ã  lire, parfait pour moi.",5
93,Scanner de codes QR & de codes-barres (français),"4,5",Pratique pour se connecter a une box internet ou pour lire la carte d'un restaurant,4
94,Scanner de codes QR & de codes-barres (français),"4,5",Excellente application pour lire les menus et cartes de restauration entre autre...,5
95,Scanner de codes QR & de codes-barres (français),"4,5","Utilisation facile, scanne trÃ¨s vite les codes et permet d'aller sur le site internet trÃ¨s rapidement",5
96,Scanner de codes QR & de codes-barres (français),"4,5",Fait trÃ¨s bien le boulot. Il faut juste une connexion internet.,5
97,Scanner de codes QR & de codes-barres (français),"4,5",Ne scanne pas la moitiÃ© des codes et Ã§a devient frustrant,1
